Processo;Memo;Data;Serviço;Mídia;Tipo;Competência;Agência;NF;Subcontratado;NF; Bruto PI ; Bruto PUP ; Comisão/B. Cálculo ; IR ; ISS ; Líquido ;PP;Data Pagtº;RPP;RPNP;local;Data;Relatório;Campanha
194/17;19;19/01/2018;Veiculação;Jornal;Normal;jan/18;Desigual;1881;de Brasília;105396; 7.172,88 ;; 1.132,56 ; 16,99 ; 56,63 ; 7.099,26 ;70;21/02/2018; Não ; Não ; Coorfin ;23/01/2018;14;Publicidade Legal
194/17;19;19/01/2018;Veiculação;Jornal;Normal;jan/18;Desigual;1882;de Brasília;105349; 1.379,40 ;; 217,80 ; 3,27 ; 10,89 ; 1.365,24 ;70;21/02/2018; Não ; Não ; Coorfin ;23/01/2018;14;Publicidade Legal
194/17;19;19/01/2018;Veiculação;Jornal;Normal;jan/18;Desigual;1883;Correio Braziliense;97058; 2.487,94 ;; 392,84 ; 5,89 ; 19,64 ; 2.462,41 ;70;21/02/2018; Não ; Não ; Coorfin ;23/01/2018;14;Publicidade Legal
194/17;19;19/01/2018;Veiculação;Jornal;Normal;jan/18;Desigual;1884;Correio Braziliense;97059; 2.954,42 ;; 466,48 ; 7,00 ; 23,32 ; 2.924,10 ;70;21/02/2018; Não ; Não ; Coorfin ;23/01/2018;14;Publicidade Legal
194/17;19;19/01/2018;Veiculação;Jornal;Normal;jan/18;Desigual;1889;Correio Braziliense;97061; 1.554,96 ;; 245,52 ; 3,68 ; 12,28 ; 1.539,00 ;70;21/02/2018; Não ; Não ; Coorfin ;23/01/2018;14;Publicidade Legal
194/17;22;24/01/2018;Veiculação;Jornal;Normal;jan/18;Desigual;1880;de Brasília;105330; 3.034,68 ;; 479,16 ; 7,19 ; 23,96 ; 3.003,53 ;71;21/02/2018; Não ; Não ; Coorfin ;30/01/2018;17;Publicidade Legal
194/17;22;24/01/2018;Veiculação;Jornal;Normal;jan/18;Desigual;1885;de Brasília;105364; 1.241,46 ;; 196,02 ; 2,94 ; 9,80 ; 1.228,72 ;71;21/02/2018; Não ; Não ; Coorfin ;30/01/2018;17;Publicidade Legal
194/17;22;24/01/2018;Veiculação;Jornal;Normal;jan/18;Desigual;1886;de Brasília;105365; 1.517,34 ;; 239,58 ; 3,59 ; 11,98 ; 1.501,77 ;71;21/02/2018; Não ; Não ; Coorfin ;30/01/2018;17;Publicidade Legal
194/17;22;24/01/2018;Veiculação;Jornal;Normal;jan/18;Desigual;1887;Correio Braziliense;97060; 1.865,95 ;; 294,62 ; 4,42 ; 14,73 ; 1.846,80 ;71;21/02/2018; Não ; Não ; Coorfin ;30/01/2018;17;Publicidade Legal
194/17;22;24/01/2018;Veiculação;Jornal;Normal;jan/18;Desigual;1888;Correio Braziliense;97062; 3.731,90 ;; 589,24 ; 8,84 ; 29,46 ; 3.693,60 ;71;21/02/2018; Não ; Não ; Coorfin ;30/01/2018;17;Publicidade Legal
